원본 출처,L1 대분류,L1 소분류,L1 중분류,QID,구분,연도
2026 KMLE 4교시 10번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 4교시 60번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 4교시 9번,내과,위장관 출혈,소화기-위장관,,임상의학,
2026 KMLE 4교시 59번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 4교시 44번,내과,종양의 치료,종양,,임상의학,
2026 KMLE 4교시 80번,,,,,,
2026 KMLE 4교시 40번,산부인과,산과 초음파,산과-산전관리,,임상의학,
2026 KMLE 4교시 8번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 4교시 20번,내과,위·십이지장 질환,소화기-위장관,,임상의학,
2026 KMLE 4교시 30번,소아청소년과,감염병,각론,,임상의학,
2026 KMLE 3교시 80번,외과,외상,외과총론,SGGN01000015,임상의학,
2026 KMLE 4교시 58번,내과,염증성 장질환,소화기-위장관,,임상의학,
2026 KMLE 4교시 19번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 4교시 70번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 4교시 43번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2026 KMLE 4교시 29번,산부인과,산과 초음파,산과-산전관리,,임상의학,
2026 KMLE 4교시 7번,마이너,무릎 병변,정형외과,,임상의학,
2026 KMLE 4교시 79번,,,,,,
2026 KMLE 4교시 18번,내과,불안정형 협심증/비ST분절 상승 심근경색,순환기,,임상의학,
2026 KMLE 4교시 39번,내과,심부전,순환기,,임상의학,
2026 KMLE 4교시 57번,내과,고혈압,순환기,,임상의학,
2026 KMLE 3교시 79번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 4교시 28번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2026 KMLE 4교시 6번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 4교시 69번,산부인과,폐경,부인과-생식내분비,,임상의학,
2026 KMLE 4교시 17번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 4교시 42번,내과,폐기능 장애,호흡기,,임상의학,
2026 KMLE 4교시 56번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 4교시 27번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 4교시 38번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 4교시 5번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 4교시 78번,산부인과,기형학: 임신 중 약물 및 영양,산과-산전관리,,임상의학,2026
2026 KMLE 4교시 16번,내과,심부전,순환기,,임상의학,
2026 KMLE 4교시 55번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 4교시 26번,산부인과,산과적 출혈,산과-이상임신,,임상의학,
2026 KMLE 3교시 78번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 4교시 4번,내과,결정유발 관절염,류마티스,,임상의학,
2026 KMLE 4교시 68번,산부인과,월경통(월경곤란증/월경전 증후군),부인과-일반,,임상의학,
2026 KMLE 4교시 15번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 4교시 25번,산부인과,무월경,부인과-생식내분비,,임상의학,
2026 KMLE 4교시 41번,소아청소년과,감염병,각론,,임상의학,
2026 KMLE 4교시 54번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 4교시 3번,내과,내분비 대사질환 개요,내분비,,임상의학,
2026 KMLE 4교시 37번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 4교시 14번,내과,대동맥 질환,순환기,,임상의학,
2026 KMLE 4교시 77번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 4교시 24번,산부인과,외음부 및 질 질환,부인과-일반,,임상의학,
2026 KMLE 4교시 53번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 4교시 13번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 3교시 77번,외과,위와 샘창자(십이지장),외과각론,SGSP00900028,임상의학,
2026 KMLE 4교시 2번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 4교시 23번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 4교시 52번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 4교시 12번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2026 KMLE 4교시 1번,외과,유방,외과각론,SGSP00100015,임상의학,
2026 KMLE 4교시 22번,산부인과,외음부 및 질 질환,부인과-일반,,임상의학,
2026 KMLE 4교시 67번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 4교시 11번,내과,황달과 고빌리루빈혈증,소화기-간담췌,,임상의학,
2026 KMLE 4교시 51번,마이너,"비과학(코 질환, 부비동염)",이비인후과,,임상의학,
2026 KMLE 4교시 21번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 4교시 50번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 4교시 36번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 4교시 76번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2026 KMLE 3교시 76번,내과,식도질환,소화기-위장관,,임상의학,
2026 KMLE 4교시 66번,외과,외과적 감염 및 예방적 처치,외과총론,SGGN00700003,임상의학,
2026 KMLE 4교시 49번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 4교시 35번,정신건강의학과,불안장애,질환,,임상의학,
2026 KMLE 4교시 75번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2026 KMLE 3교시 75번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2026 KMLE 4교시 65번,소아청소년과,소화기 질환,각론,,임상의학,
2026 KMLE 4교시 48번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 4교시 34번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 4교시 74번,내과,염증성 장질환,소화기-위장관,,임상의학,
2026 KMLE 3교시 74번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2026 KMLE 4교시 64번,내과,심막질환,순환기,,임상의학,
2026 KMLE 4교시 47번,내과,천식,호흡기,,임상의학,
2026 KMLE 4교시 33번,내과,중추신경계 감염,감염,,임상의학,
2026 KMLE 4교시 73번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 3교시 73번,내과,출혈성 질환의 접근,혈액,,임상의학,
2026 KMLE 4교시 63번,내과,빈혈에 대한 접근,혈액,,임상의학,
2026 KMLE 4교시 46번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 4교시 32번,소아청소년과,소화기 질환,각론,,임상의학,
2026 KMLE 4교시 72번,내과,식도질환,소화기-위장관,,임상의학,
2026 KMLE 3교시 72번,내과,혈소판 장애,혈액,,임상의학,
2026 KMLE 4교시 62번,내과,빈혈에 대한 접근,혈액,,임상의학,
2026 KMLE 4교시 45번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 4교시 31번,소아청소년과,호흡기 질환,각론,,임상의학,
2026 KMLE 4교시 71번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 4교시 61번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 3교시 71번,내과,판막질환,순환기,,임상의학,
2026 KMLE 3교시 60번,내과,심혈관계 검사,순환기,,임상의학,
2026 KMLE 3교시 50번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 3교시 62번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 3교시 40번,,,,,,
2026 KMLE 3교시 59번,내과,불안정형 협심증/비ST분절 상승 심근경색,순환기,,임상의학,
2026 KMLE 3교시 49번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 3교시 61번,내과,심혈관계 검사,순환기,,임상의학,
2026 KMLE 3교시 39번,,,,,,
2026 KMLE 3교시 58번,내과,당뇨병,내분비,,임상의학,
2026 KMLE 3교시 48번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 3교시 70번,마이너,결막·각막 질환,안과,,임상의학,
2026 KMLE 3교시 38번,,,,,,
2026 KMLE 3교시 57번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2026 KMLE 3교시 47번,내과,심혈관계 검사,순환기,,임상의학,
2026 KMLE 3교시 37번,내과,판막질환,순환기,,임상의학,
2026 KMLE 3교시 56번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 3교시 46번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 3교시 69번,산부인과,임신과 약물,산과-이상임신,,임상의학,
2026 KMLE 3교시 36번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 3교시 45번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 3교시 68번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 3교시 55번,외과,항문,외과각론,SGSP01300007,임상의학,
2026 KMLE 3교시 35번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 3교시 44번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 3교시 67번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 3교시 54번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 3교시 34번,내과,췌장 질환,소화기-간담췌,,임상의학,
2026 KMLE 3교시 43번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 3교시 53번,외과,위와 샘창자(십이지장),외과각론,SGSP00900027,임상의학,
2026 KMLE 3교시 66번,내과,천식,호흡기,,임상의학,
2026 KMLE 3교시 33번,내과,위종양,소화기-위장관,,임상의학,
2026 KMLE 3교시 52번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2026 KMLE 3교시 65번,내과,황달과 고빌리루빈혈증,소화기-간담췌,,임상의학,
2026 KMLE 3교시 42번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 3교시 32번,내과,불안정형 협심증/비ST분절 상승 심근경색,순환기,,임상의학,
2026 KMLE 3교시 51번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2026 KMLE 3교시 31번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2026 KMLE 3교시 41번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 3교시 64번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 3교시 63번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2026 KMLE 3교시 10번,내과,성분화장애,내분비,,임상의학,
2026 KMLE 3교시 20번,내과,스피로헤타 감염,감염,,임상의학,
2026 KMLE 2교시 80번,외과,부갑상샘,외과각론,SGSP00300002,임상의학,
2026 KMLE 2교시 40번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 2교시 50번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 3교시 9번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2026 KMLE 3교시 19번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 2교시 49번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 2교시 39번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 70번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 2교시 79번,외과,소아외과,외과각론,SGSP02000013,임상의학,
2026 KMLE 2교시 30번,외과,담낭과 담도,외과각론,SGSP01500017,임상의학,
2026 KMLE 3교시 8번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2026 KMLE 2교시 48번,소아청소년과,감염병,각론,,임상의학,
2026 KMLE 2교시 38번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 3교시 18번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 2교시 78번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 2교시 47번,소아청소년과,수분 및 전해질 평형,총론,,임상의학,
2026 KMLE 2교시 69번,내과,심혈관계 검사,순환기,,임상의학,
2026 KMLE 3교시 7번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 2교시 37번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 29번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 3교시 17번,소아청소년과,예방 소아과학,총론,,임상의학,
2026 KMLE 3교시 6번,내과,내분비 대사질환 개요,내분비,,임상의학,
2026 KMLE 2교시 68번,소아청소년과,서론(소아의 진찰),총론,,임상의학,
2026 KMLE 2교시 77번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 2교시 46번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 3교시 16번,소아청소년과,면역학,총론,,임상의학,
2026 KMLE 2교시 28번,내과,천식,호흡기,,임상의학,
2026 KMLE 3교시 5번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 2교시 45번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2026 KMLE 2교시 67번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 2교시 60번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 3교시 30번,소아청소년과,성장,총론,,임상의학,
2026 KMLE 3교시 15번,내과,위장관 출혈,소화기-위장관,,임상의학,
2026 KMLE 2교시 44번,소아청소년과,성장,총론,,임상의학,
2026 KMLE 3교시 4번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 36번,마이너,혼수,신경과/신경외과,,임상의학,
2026 KMLE 2교시 76번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 2교시 59번,외과,탈장,외과각론,SGSP00600012,임상의학,
2026 KMLE 3교시 29번,내과,위·십이지장 질환,소화기-위장관,,임상의학,
2026 KMLE 3교시 14번,내과,위장관 출혈,소화기-위장관,,임상의학,
2026 KMLE 2교시 43번,외과,동맥계,외과각론,SGSP01800008,임상의학,
2026 KMLE 2교시 27번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 35번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 3교시 3번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 2교시 75번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 2교시 66번,마이너,견갑부(어깨) 질환,정형외과,,임상의학,
2026 KMLE 2교시 42번,외과,외상,외과총론,SGGN01000014,임상의학,
2026 KMLE 2교시 58번,소아청소년과,소아 안과,각론,,임상의학,
2026 KMLE 2교시 34번,정신건강의학과,신경인지장애(인지기능장애),질환,,임상의학,
2026 KMLE 2교시 26번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 3교시 13번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 3교시 28번,마이너,청력소실/이명,이비인후과,,임상의학,
2026 KMLE 2교시 74번,,,,,,
2026 KMLE 2교시 41번,내과,출혈성 질환의 접근,혈액,,임상의학,
2026 KMLE 2교시 33번,마이너,"구강·인두과학(타액선, 편도선)",이비인후과,,임상의학,
2026 KMLE 2교시 57번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 65번,마이너,홍반/두드러기/약물발진,피부과,,임상의학,
2026 KMLE 2교시 73번,,,,,,
2026 KMLE 2교시 25번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 3교시 27번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 2교시 32번,마이너,사고와 중독,응급의학과,,임상의학,
2026 KMLE 2교시 56번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 72번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 2교시 64번,마이너,두부외상(외상),신경과/신경외과,,임상의학,
2026 KMLE 3교시 26번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 2번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 24번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 2교시 31번,소아청소년과,호흡기 질환,각론,,임상의학,
2026 KMLE 2교시 55번,외과,유방,외과각론,SGSP00100014,임상의학,
2026 KMLE 2교시 71번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 2교시 63번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 25번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 2교시 23번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 3교시 12번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 2교시 54번,외과,소아외과,외과각론,SGSP02000012,임상의학,
2026 KMLE 3교시 1번,마이너,수정체 질환,안과,,임상의학,
2026 KMLE 2교시 62번,마이너,청력소실/이명,이비인후과,,임상의학,
2026 KMLE 3교시 24번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200009,임상의학,
2026 KMLE 2교시 22번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 3교시 11번,소아청소년과,감염병,각론,,임상의학,
2026 KMLE 2교시 53번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 61번,내과,당뇨병,내분비,,임상의학,
2026 KMLE 2교시 21번,정신건강의학과,불안장애,질환,,임상의학,
2026 KMLE 3교시 23번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 2교시 52번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 22번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2026 KMLE 2교시 51번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2026 KMLE 3교시 21번,외과,급성 복증,외과각론,SGSP00700002,임상의학,
2023 KMLE 3교시 16번,내과,뇌하수체 후엽 질환,내분비,,임상의학,
2026 KMLE 1교시 8번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2021 KMLE 1교시 44번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2022 KMLE 4교시 12번,소아청소년과,내분비 질환,각론,,임상의학,
2022 KMLE 1교시 5번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2021 KMLE 1교시 70번,예방의학,물리적 환경,환경 및 산업보건,,인문사회의학,
2026 KMLE 1교시 80번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2021 KMLE 4교시 55번,소아청소년과,심혈관 질환,각론,,임상의학,
2026 KMLE 2교시 10번,내과,철결핍빈혈,혈액,,임상의학,
2026 KMLE 2교시 18번,외과,위와 샘창자(십이지장),외과각론,SGSP00900026,임상의학,
2022 KMLE 1교시 45번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200006,임상의학,
2021 KMLE 1교시 58번,예방의학,역학적 연구방법론,역학,,인문사회의학,
2025 KMLE 1교시 72번,예방의학,건강증진과 보건교육,건강증진/의료윤리,,인문사회의학,
2025 KMLE 4교시 41번,소아청소년과,소아의 영양,총론,,임상의학,
2021 KMLE 4교시 34번,내과,안정형 협심증,순환기,,임상의학,
2026 KMLE 2교시 9번,정신건강의학과,정신과적 평가(임상검사),기초,,임상의학,
2021 KMLE 3교시 55번,외과,위와 샘창자(십이지장),외과각론,SGSP00900010,임상의학,
2024 KMLE 3교시 4번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 17번,내과,심장응급질환,순환기,,임상의학,
2026 KMLE 1교시 79번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2022 KMLE 2교시 6번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2023 KMLE 3교시 12번,소아청소년과,신생아 질환,총론,,임상의학,
2021 KMLE 2교시 44번,정신건강의학과,성격장애(인격장애),질환,,임상의학,
2026 KMLE 2교시 8번,정신건강의학과,기분 장애,질환,,임상의학,
2025 KMLE 3교시 30번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 16번,내과,중추신경계 감염,감염,,임상의학,
2025 KMLE 4교시 10번,내과,기계보조환기,호흡기,,임상의학,
2021 KMLE 4교시 29번,마이너,"이과학(바깥귀, 고막, 중이염, 어지럼)",이비인후과,,임상의학,
2024 KMLE 1교시 5번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2025 KMLE 1교시 68번,예방의학,의료보장,의료관리,,인문사회의학,
2026 KMLE 2교시 7번,마이너,결막·각막 질환,안과,,임상의학,
2026 KMLE 1교시 78번,의료법규,보건관계의료법규 개론,의료법규,,인문사회의학,
2026 KMLE 1교시 22번,외과,소장,외과각론,SGSP01000005,임상의학,
2022 KMLE 3교시 28번,마이너,뇌부종/뇌압항진/뇌수종,신경과/신경외과,,임상의학,
2026 KMLE 2교시 15번,정신건강의학과,불안장애,질환,,임상의학,
2024 KMLE 4교시 51번,마이너,"구강·인두과학(타액선, 편도선)",이비인후과,,임상의학,
2025 KMLE 2교시 24번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2025 KMLE 3교시 45번,산부인과,성폭행,부인과-기타,,임상의학,
2021 KMLE 3교시 29번,산부인과,가족계획,부인과-일반,,임상의학,
2022 KMLE 4교시 47번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 1교시 77번,정신건강의학과,정신과적 평가(임상검사),기초,,임상의학,
2026 KMLE 2교시 6번,외과,갑상샘,외과각론,SGSP00200010,임상의학,
2024 KMLE 4교시 52번,외과,위와 샘창자(십이지장),외과각론,SGSP00900007,임상의학,
2025 KMLE 3교시 14번,내과,내분비 대사질환 개요,내분비,,임상의학,
2025 KMLE 1교시 1번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2022 KMLE 2교시 70번,외과,위와 샘창자(십이지장),외과각론,SGSP00900020,임상의학,
2022 KMLE 1교시 64번,예방의학,의료보장,의료관리,,인문사회의학,
2026 KMLE 1교시 76번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2024 KMLE 3교시 1번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 2교시 14번,내과,감염질환 개요,감염,,임상의학,
2022 KMLE 4교시 80번,내과,심부전,순환기,,임상의학,
2025 KMLE 1교시 17번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2025 KMLE 2교시 8번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2021 KMLE 5교시 18번,외과,담낭과 담도,외과각론,SGSP01500010,임상의학,
2024 KMLE 2교시 21번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
